Museum,Specimen #,Species,SEX,Location Code,Country/Continent,State/Province,"Age (juv, prime adult, older adult, old)",Weight,Notes,Grst Breadth acss Orbits,Grst Breadth across the premaxillae/Muzzle Width,Occipital/Cranial Height (base of foramen magnum to top of the occipital region),Skull width across mastoids immediately behind external auditory meati,Length of nuchal crest (from nodual to nodual on nuchal crest),Greatest Breadth of occipital condyles,Greatest Breadth of Foramen Magnum,Depth of Foramen Magnum,Nuchal crest (1-5),Grst Breadth of the base of paraoccipital process,Length of the paraoccipital process,"Width of Paraoccipital Process, right below auditory bullae",Length of molar row (@ alvelous) Maxilla ,,Length of Premolar row (@ alvelous) Maxilla ,,Occlusal length M3,,Occlusal width M3,Occlusal width M3_ remeasured 11_2016,Occlusal length M2,Occlusal length M2_remeasured 11_2016,Occlusal width M2,Occlusal width M2_remeasured 11_2016,Occlusal length M1,Occlusal width M1,Occlusal length P4,Occlusal Width P4,Occlusal length P2,Occlusal Width P2,Anterior jaw length,Posterior jaw length,max width of the mandibluar angle,Length of molar row (@ alvelous) Mandible ,Length of Premolar row (@ alvelous) Mandible ,Depth of Mandible between M1 and M2,Depth of Mandible between M2 and M3,Mandibular Width at M2,Diastema depth at alveolus,Occlusal length M3,Occlusal length M3_remeasured 11_2016,Occlusal width M3,Occlusal width M3_remeasured 11_2016,Occlusal length M2,Occlusal length M2_remeasured 11_2016,Occlusal width M2,Occlusal width M2_remeasured 11_2016,Occlusal length M1,Occlusal length M1_remeasured 11_2016,Occlusal width M1,Occlusal width M1_remeasured 11_2016,Occlusal length P4,Occlusal width P4,Occlusal length P2,Occlusal width P2,Humerus Length,Humerus Width Shaft  AP,Humerus Width Shaft ML,Humerus Width Distal 1 (capitulum),Humerus Width Distal 2 (epicondyles),Humerus Width Proximal (humeral head),Femur Length,Femur Width Shaft AP,Femur Width ML,Femur Width Distal 1 (region above condyles and below patellar surface),Femur Width Distal 2 (condyles),Femur Width Proximal 1 (intertrochanteric crest),Femur Width Proxial 2 (less trochanter to head),Medapodial Length,Medapodial Width AP,Medapodial Width ML,Astragalus Length,Astragalus Width
AMNH,83537,Aepyceros melampus melampus,Female,B1,Botswana,Chobe,Prime Adult (~4.5),,,106.42,42.38,78.2,74.32,79.67,49.64,22.92,21.84,1,,39.05,10.53,53.52,,25.12,,18.19,,10.29,,16.49,,11.69,,14.82,11.6,8.04,8.66,6.49,4.74,92.4,106.7,66.09,58.3,24.84,30.29,34.51,14.34,17.78,23.67,,8.69,,17.04,,8.26,,13.96,,7.58,,9.71,5.69,7.04,2.84,,,,,,,,,,,,,,,,,,
AMNH,83534,Aepyceros melampus melampus,Female,S3,South Africa,Bechuanaland/Orange Free State,Prime Adult (~2.5),,,99.83,37.25,79.34,70.51,72.54,45.96,19.93,23.14,1,,34.09,7.33,52.55,,28.05,,15.28,,7.71,,17.63,,8.87,,16.76,9.89,9.64,7.38,7.31,5.8,93.22,96.52,57.63,57.42,25.58,26.94,31.33,12.85,15.98,20.98,,6.94,,16.62,,7.26,,15.28,,7.07,,9.72,4.97,5.69,2.51,179.79,22.59,17.92,32.98,35.7,33.33,219.15,21.68,18.84,19.67,41.47,48.62,40.69,227.91,18.45,15.51,39.04,21.46
AMNH,80496,Aepyceros melampus petersi,Female,A1,Angola,Huila,Prime Adult (~3.5),,,101.61,42.13,77.77,72.48,75.27,45.44,21.76,19.96,3,,32.9,11.84,51.5,,27.8,,17.55,,8.96,,17.63,,10.64,,14.78,10.42,10.12,8.76,6.41,6.42,93.44,95.3,56.88,56.11,25.19,30.23,33.9,13.59,16.09,22.09,,7.6,,16.98,,8.03,,14.03,,7.32,,11.1,5.63,6.04,2.94,,,,,,,,,,,,,,,,,,
AMNH,165096,Aepyceros melampus petersi,Female,N1,Namibia,Kaokoland,Prime Adult (~3),,,97.88,40.38,,,,,,,,40.55,31.68,8.69,52.14,,27.46,,15.49,,7.93,,16.84,,8.75,,16.66,10.69,9.01,7.01,5.97,6.57,92.73,97.94,57.83,58.13,23.4,29.99,32.68,13.09,15.74,22.58,,7.01,,17.06,,7.51,,15.44,,7.14,,10.54,5.05,5.84,2.3,,,,,,,,,,,,,,,,,,
AMNH,165100,Aepyceros melampus petersi,Female,N1,Namibia,Kaokoland,Prime Adult (~3),,,104.7,41.23,79.43,74.14,76.93,47.51,19.47,21.24,2,42.83,31.5,9.57,51.77,,25.16,,18.02,,10.01,,16.82,,10.59,,13.62,10.5,8.97,5.84,6.5,6.43,94.23,104.81,61.26,55.52,23.28,26.8,29.7,13.26,15.18,22.58,,7.9,,16.59,,7.31,,13.99,,6.82,,9.39,5.78,5.43,2.56,,,,,,,,,,,,,,,,,,
AMNH,165097,Aepyceros melampus petersi,Female,N1,Namibia,Kaokoland,Juvenile (2),,,92.53,36.58,,69.8,74.17,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMNH,179213,Aepyceros melampus redilis/ suara,Female,K2,Kenya,Ngare Ndare,Prime Adult (2.5),,,97.86,37.97,77.94,67.06,71.74,44.59,19.28,21.91,1,37.26,31.27,9.22,51.59,,27.7,,14.17,,8.73,,16.58,,9.63,,16.64,10.07,8.63,7.76,5.98,5.18,88.35,89.9,58.4,56,24.27,25.79,29.91,13.87,15.59,22.9,,7.07,,16.15,,7.01,,14.66,,7.89,,10.52,4.41,5.36,2.81,,,,,,,,,,,,,,,,,,
AMNH,114233,Aepyceros melampus rendilis,Female,K3,Kenya,Kilibasi,Prime Adult (3.5),,,101.33,40.37,78.3,71.1,75.79,46.46,20.49,22,2,39.44,35.38,10.66,52.82,,24.81,,17.08,,10.5,,19.02,,11.5,,14.99,10.15,8.41,8.88,6.29,6.01,91.35,100.82,58.69,57.54,23.83,22.65,28.19,14.29,15.65,23.2,,8.2,,18.04,,8.64,,13.36,,7.07,,10.68,5.41,6.13,3.12,,,,,,,,,,,,,,,,,,
AMNH,27799,Aepyceros melampus rendilis,Female,K4,Kenya,Athi Plains,Prime Adult (~4),,,101.62,41.58,76.37,70.01,74.91,43.66,18.59,22.01,2,42.65,34.4,11.46,50.42,,26.67,,17.57,,9.3,,17.1,,11.03,,12.95,10.44,8.42,7.68,6.52,5.72,87.15,94.56,56.94,54.65,22.85,25.85,28.55,13.88,15.47,23.47,,8.85,,17.12,,8.43,,11.93,,7.29,,9.56,5.74,6.1,2.58,,,,,,,,,,,,,,,,,,
AMNH,216391,Aepyceros melampus johnstoni,Male,M1,Mozambique,Zinave,Prime Adult (~2.5),,,112.33,42.6,83.12,83.72,89.71,51.57,23.36,22.53,3,46.17,36.89,11.27,50.64,,27.53,,15.9,,8.55,,17.72,,10.09,,14.66,9.94,10.03,8.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.13,26.66,19.48,34.88,37.71,36.23,238.91,23.42,20.28,21.89,45.35,51.26,43.32,246.01,17.9,17.32,40.42,22.45
AMNH,216393,Aepyceros melampus johnstoni,Male,M1,Mozambique,Zinave,Prime Adult (~3.5),,,109.69,45.93,78.66,80.09,87.72,44.9,19.01,21.09,3,47.85,36.53,11.04,48.57,,22.96,,17.96,,9.45,,17.08,,10.3,,13.05,10.05,9.16,8.13,6.03,3.94,86.61,100.93,62.42,51.99,21.31,25.6,28.17,13.64,15.71,21.45,,7.68,,15.84,,7.98,,12.9,,7.02,,9.31,4.88,,,186.03,24.58,18.9,33.01,37.28,35.85,208.28,22.16,19.8,20.2,40.88,51.27,39.92,230.52,18.44,16.61,35.75,21.01
AMNH,216392,Aepyceros melampus johnstoni,Male,M1,Mozambique,Zinave,Prime Adult (~3),,,106.87,,83.65,82.6,88.38,49.25,19.76,21.32,4,44.22,37.24,10.47,49.82,,27.12,,16.22,,8.72,,17.69,,10.25,,14.3,10.04,9.41,8.13,,,90.5,104.73,63.24,55.5,24.45,30.58,33.4,13.61,18.33,22.23,,7.05,,17.95,,7.99,,13.83,,7.84,,10.92,4.57,6.14,2.47,188.83,26.88,19.68,33.93,36.95,36.09,223.58,22.27,19.6,21.46,44.11,51.16,41.59,231.71,18.69,17.4,37.89,21.52
AMNH,216394,Aepyceros melampus johnstoni,Male,M1,Mozambique,Zinave,Prime Adult (~4),,,109.6,45.11,83.48,83.97,87.25,51.45,22.36,20.89,4,50.5,36.01,11.96,44.26,,23.49,,17.47,,10.03,,14.62,,11.63,,11.46,12.2,5.92,9.55,5.84,2.78,91.01,104.03,65.5,49.1,20.5,28.24,28.11,13.03,15.25,22.84,,7.68,,15.37,,7.21,,11.51,,6.88,,9.38,4.77,,,,,,,,,220.28,22.5,19.52,21.55,43.64,52.8,43.79,238.16,20.29,15.08,36.58,21.64
AMNH,161014,Aepyceros melampus johnstoni,Male,Z2,Zambia,Namwala District,Prime Adult (~5),,,111.85,44.4,82.75,81.99,87.72,50.61,21.14,19.39,4,,,13.6,54.3,,24.85,,19.67,,9.87,,17.37,,10.59,,13.97,10.33,9.53,8.01,5.82,5.66,94.21,107.91,62.18,54.22,24.9,31.59,36.23,13.09,17.44,24.95,,7.55,,16.87,,7.43,,13.1,,7.22,,9.04,4.77,6.2,2.35,,,,,,,,,,,,,,,,,,
AMNH,83542,Aepyceros melampus melampus,Male,B2,Botswana,"Kwaai, Mochaba River",Prime Adult (~3),,,112.25,44.25,85.62,81.55,88.86,51.3,24,21.44,2,44.23,37.28,10.28,52.98,,30.27,,15.4,,6.45,,18.84,,9.7,,17.25,11.58,10.36,6.75,6.48,6.25,91.12,94.5,54.04,58.27,28.85,28.69,32,14.44,16.86,20.97,,7.35,,17.69,,8.22,,15.36,,7.66,,10.28,4.34,5.72,2.63,,,,,,,,,,,,,,,,,,
AMNH,83539,Aepyceros melampus melampus,Male,B2,Botswana,"Kwaai, Mochaba River",Prime Adult (~4),,,116.44,46.62,87.78,84.54,88.41,54.82,23.91,21.29,4,,41.99,11.7,52.91,,26.03,,19.47,,9.82,,16.75,,11.11,,12.56,11.03,9.29,8.94,,,98.65,108.67,61.96,55.84,27.49,28.28,31.78,13.01,18.04,22.47,,8.14,,16.29,,8.8,,13.08,,6.18,,10.39,5.76,7.31,2.96,,,,,,,,,,,,,,,,,,
AMNH,83541,Aepyceros melampus melampus,Male,B5,Botswana,Ghanzi,Prime Adult (~3),,,106.55,43.14,82.6,82.05,86.1,50.88,23.1,20.72,3,45.08,35.98,11.47,52.34,,26.52,,16.69,,9.82,,17.25,,11.16,,15.08,11.46,8.92,8.58,6.21,4.6,91.65,105.23,62.63,57.9,23.82,25.57,29.24,14.64,15.94,23.36,,7.95,,17.68,,8.96,,13.79,,8.06,,10.67,5.44,5.31,2.78,,,,,,,,,,,,,,,,,,
AMNH,80498,Aepyceros melampus petersi,Male,A1,Angola,Huila,Prime Adult (~3),,,113.3,43.44,85.01,86.12,90.05,49.79,21.4,23.75,4,49.93,39.1,15.42,52.84,,28.73,,18.82,,8.93,,18.03,,10.46,,15.37,10.64,10.12,8.68,7.34,6.64,91.74,,65.23,56.24,18.75,31.82,34.98,14.7,20.92,23.38,,7.59,,17.53,,8.35,,14.49,,7.57,,10.71,5.1,,,,,,,,,,,,,,,,,,,,
AMNH,165095,Aepyceros melampus petersi,Male,N1,Namibia,Kaokoland,Prime Adult (~3),,,120.51,47.29,83.07,83.84,88.94,51.28,19.46,22.33,4,47.13,35.45,12.46,51.79,,26.58,,17.25,,10.15,,17.22,,11.35,,15.07,10.53,9.58,8.11,7.18,5.85,93.44,115.93,69.64,54.23,17.21,26.54,29.22,13.97,16.12,22.03,,8.4,,16.33,,8.49,,13.76,,7.07,,10.27,6.2,,,,,,,,,,,,,,,,,,,,
AMNH,165099,Aepyceros melampus petersi,Male,N1,Namibia,Kaokoland,Prime Adult (2.5),,,107.02,40.64,81.72,77.04,82.68,48.36,20.2,24.6,2,,34.07,12.31,50.37,,27.64,,16.2,,8.42,,15.82,,10.64,,16.71,11.21,9.22,7.45,6.41,4.6,89.56,102.33,61.14,55.37,25.51,25.62,29.72,13.1,15.47,21.09,,8.08,,16.54,,8.15,,15.22,,7.56,,10.31,4.91,5.55,2.78,,,,,,,,,,,,,,,,,,
AMNH,165094,Aepyceros melampus petersi,Male,N1,Namibia,Kaokoland ,Prime Adult (~3),,,111.71,43.52,81.77,82.8,87.13,47.9,19.77,21.34,3,45.21,41.3,13.34,51.51,,26.47,,17.66,,9.01,,17.18,,9.96,,15.28,10.31,9.04,7.88,7.36,4.17,91.68,106.72,65.22,56.58,22.62,28.62,33.48,13.32,15.56,22.9,,7.64,,17.21,,8.23,,14.43,,7.26,,9.94,5.94,4.66,2.89,,,,,,,,,,,,,,,,,,
AMNH,179207,Aepyceros melampus redilis/ suara,Male,K2,Kenya,Ngare Ndare,Prime Adult (~3.5),,,112.09,46.43,81.35,82.74,87.06,53.42,22.82,19.84,5.5,52.78,32.79,12.4,52.09,,27.02,,17.27,,10.82,,16.52,,10.84,,14.27,10.19,9.19,8.35,,,93.15,97.49,60.54,55.97,23.02,27.49,31.22,13.23,16.78,24.27,,8.38,,17.19,,8.09,,13.07,,7.1,,9.4,5.14,6.46,2.19,,,,,,,,,,,,,,,,,,
AMNH,179208,Aepyceros melampus rendilis,Male,K2,Kenya,Ngare Ndare,Prime Adult (~3),,,117.02,45.8,82.83,84.77,88.72,49.45,20.98,21.11,4,47.25,40.84,13.89,51.95,,30.35,,15.97,,9.13,,17.16,,10.74,,16.23,11.14,10.36,8.63,8.11,6.11,90.03,105.5,59.86,58.79,24.74,28.71,31.61,13.37,16.48,22.29,,7.24,,18.19,,8.57,,15.01,,7.47,,9.83,5.21,5.71,3.25,,,,,,,,,,,,,,,,,,
AMNH,179209,Aepyceros melampus rendilis,Male,K2,Kenya,Ngare Ndare,Prime Adult (~4),,,115.48,43.64,84.42,83.79,88.6,52.99,21.64,22.15,5,45.47,40.62,14.88,49.79,,27.34,,15.21,,9.08,,17.06,,10.38,,14.35,9.87,8.3,8.01,5.23,5.67,95.44,105.7,62.12,56.43,24.13,28.86,31.47,12.4,16.85,22.58,,7.64,,18.22,,7.91,,13.47,,6.32,,10.63,4.87,6.32,3.31,,,,,,,,,,,,,,,,,,
AMNH,179210,Aepyceros melampus rendilis,Male,K2,Kenya,Ngare Ndare,Prime Adult (~4.5),,,111.91,44.4,83.23,80.01,84.28,47.16,19.12,21.37,4,,,13,48.79,,26.55,,17.3,,9.23,,15.59,,10.53,,12.87,10.13,8.15,7.77,,,94.62,106.98,59.63,56.41,22.99,28.51,31.83,13.22,16.7,23.83,,8.92,,18.05,,8.13,,13.13,,6.63,,9.56,5.2,,,,,,,,,,,,,,,,,,,,
AMNH,27697,Aepyceros melampus rendilis,Male,K8,Kenya,Laekipia,Prime Adult (~4),,,113.83,47.13,86.05,85.53,89.8,49.25,20.03,21.3,5.5,,,13.52,52.84,,28.84,,19.48,,9.87,,16.96,,11.58,,,,,,,,91.38,103.75,67.2,58.83,25.58,30.45,32.82,14.53,17.35,26.55,,8.9,,18.03,,8.92,,14.27,,7.78,,10.28,5.8,5.56,2.88,,,,,,,,,,,,,,,,,,
AMNH,82050,Aepyceros melampus suara,Male,T2,Tanzania,Guerametti,Prime Adult (~3),,,,48.05,,87.94,90.74,53.16,22.68,23.95,,50.19,40.69,14.09,53.85,,29.34,,18.78,,9.06,,16.5,,10.82,,15.76,10.96,9.79,7.9,8.1,5.51,97.99,110.63,66.61,57.39,25.6,27.92,30.79,14.89,18.07,22.77,,7.03,,17.77,,8.87,,14.25,,7.37,,10.12,5.79,5.82,2.83,,,,,,,,,,20.27,41.98,,,226.21,20.88,13.52,35.74,20.85
AMNH,82048,Aepyceros melampus suara,Male,T2,Tanzania,Guerametti,Young Adult (almost 2?),,,,,,76.53,82.72,49.2,20.13,21.07,,,,9.07,49.81,,30.64,,,,,,17.7,,8.92,,16.82,9.3,,,,,92.12,91.42,58.53,55.56,30.71,26.59,30.31,13.58,17.07,,,,,18.31,,7.97,,15.08,,7.08,,,,,,176.64,25.51,18.34,33.1,36.22,33.14,217.15,22.77,20.43,20.97,41.79,,,229.53,18.54,17.63,38.26,22.18
AMNH,165098,Aepyceros melampus petersi,Male ,N1,Namibia,Kaokoland,Prime Adult (~3),,,112.78,41.28,85.67,85.75,90.42,50.55,19.17,,2,42.14,33.04,11.39,52.93,,29.56,,16.73,,8.23,,18.3,,8.89,,16.36,10.94,9.1,7.83,9.51,5.67,93.32,103.26,58.02,56.61,25.49,30.86,35.2,14.14,15.87,21.78,,7.59,,18.39,,8.36,,14.95,,7.44,,10.54,5.94,6.17,2.41,,,,,,,,,,,,,,,,,,
Carnegie,6873,Aepyceros melampus petersi,Male ,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnegie,6862,Aepyceros melampus petersi,Male ,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carnegie,6878,Aepyceros melampus petersi,Male ,A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smithsonian,368557,Aepyceros melampus melampus,Female,B1,Botswana,Bechuanaland Protectorate,Prime Adult (~4) ,,,95.65,37.3,72.24,66.89,,46.76,20.75,20.66,2,41.82,29.81,,46.77,46.81,30.27,29.22,13.97,13.97,8.06,7.67,15.09,15.47,9.33,8.98,15.69,9.84,10.33,9.52,7.18,4.6,86.27,88.92,51.3,51.74,27.82,26.26,31.21,12.81,14.58,19.11,19.2,6.56,5.98,16.27,16.02,7.49,7.55,14.44,14.5,7.16,6.33,10.08,4.41,4.96,1.97,,,,,,,,,,,,,,,,,,
Smithsonian,368559,Aepyceros melampus melampus,Female,B2,Botswana,,Prime Adult (~3),,,98.47,~37.46,72.67,71.99,,44.24,17.37,21.83,1,37.99,36.44,,49.77,44.96,27.17,26.98,15.99,15.59,8.69,8.09,15.53,15.84,10.63,10.03,14.76,10.12,9.57,7.03,6.16,4.45,92.53,96.95,57.32,54.98,23.41,29.19,33.22,13.07,16.23,21,21.63,6.64,6.69,16.54,17.17,7.56,8.27,14.06,13.97,6.74,7.01,9.2,4.92,5.54,2.19,,,,,,,,,,,,,,,,,,
Smithsonian,368562,Aepyceros melampus melampus,Female,B3,Botswana,,Young Adult ~2,,,95.94,36.49,77.18,69.74,,43.2,21,21.75,1,40.79,28.9,,51.3,,30.56,,14.83,,5.6,,17.17,,9.77,,16.73,11.32,10.26,5.6,7.53,6.71,92.78,91.6,53.37,54.24,28,28.27,32.34,12.52,17.61,20.28,,5.07,,17,,7.04,,15.59,,7.82,,11.97,4.43,6.03,2.34,,,,,,,,,,,,,,,,,,
Smithsonian,351947,Aepyceros melampus melampus,Female,S1,South Africa,Kwazulu-Natal,Prime Adult (~2.5),,,99.1,40.8,78.29,70.71,,48.16,23.52,23.62,2,38.38,30.69,,53.3,,28.05,,15.98,,9.07,,17.61,,11.46,,16.17,11.41,10.02,8.03,6.98,6.92,86.72,85.15,50.97,58.61,24.78,23.62,31,14.93,16.01,22.55,,8.88,,18.33,,9.41,,14.04,,8.27,,9.22,5.71,6.76,2.44,,,,,,,,,,,,,,,,,,
Smithsonian,18954 (34698),Aepyceros melampus suara,Female,K3,Kenya,,Prime Adult (~3) ,,,104.79,41.2,78.21,74.24,,44.41,22.07,22.86,2,43.9,~33.22,,52.27,,24.49,,16.62,,10.4,,16.35,,11.93,,14.85,10.86,9.01,8.87,6.38,5.25,95.28,105.75,56.66,53.91,23.14,22.95,26.62,11.64,13.34,23.04,,8.16,,15.79,,8.35,,11.96,,8.25,,9.46,5.68,6.59,3.78,,,,,,,,,,,,,,,,,,
Smithsonian,163046,Aepyceros melampus suara,Female,K5,Kenya,,Prime Adult (~5),,,~98.37,41.8,79.75,72.89,,46.85,21.1,22.69,2,47.07,33.72,,49.89,,25.96,,16.17,,9.82,,17.67,,11.22,,14.03,11.25,9.57,8.39,6.99,5.59,86.34,97.06,61.24,53.8,21.13,23.34,28.22,12.8,15.15,22.57,,7.62,,16.42,,8.67,,13.21,,7.46,,9.36,5.63,6.26,2.96,,,,,,,209.5,21.56,19.21,22.05,43.53,50.34,36.05,216.06,18.4,17.94,34.66,20.86
Smithsonian,259458,Aepyceros melampus suara,Female,T1,Tanzania,,Old Adult (~8), ,,96.01,37.65,76.77,68.77,,42.11,21.65,21.98,2,,31.29,,44.99,44.25,22.75,21.85,15.34,15.43,8.07,8.26,14.38,14.77,8.23,8.06,13,8.41,8.4,9.82,6.11,5.7,85.84,96.48,60.54,44.19,21.98,22.97,25.24,12.68,15.4,18.96,18.7,7.36,6.99,13.98,13.49,5.6,6.04,10.48,9.11,6.42,6.27,8.74,5.18,4.58,2.38,,,,,,,,,,,,,,,,,,
Smithsonian,261111,Aepyceros melampus suara,Female,T4,Tanzania ,,Prime Adult,78,,100.67,39.97,75.35,75.71,,46,23.66,20.41,2,41.46,34.01,,52.29,,29.19,,16.81,,9.57,,17.19,,11.56,,15.05,10.73,10.43,8.88,,,87.54,96.23,61.7,55.39,25.19,,,,16.34,22.87,,7.81,,16.2,,8.4,,12.91,,6.95,,10.45,5.4,,,169.74,22.91,16.03,32.05,36.52,31.29,203.9,21.67,18.92,21.13,41.94,52.5,40.22,211.13,16.3,15.83,37.71,21.19
Smithsonian,337256,Aepyceros melampus johnstoni,Male,Z1,Zambia,"Eastern Province, Lundazi District",Prime Adult (~3),,,108.73,41.46,78.44,80.56,,47.51,18.56,22.06,3,46.45,35.5,,49.67,49.09,26.55,27.06,15.87,15.06,8.51,8.66,16.55,16.62,10.76,9.67,14.62,10.36,8.72,8.15,6.57,5.39,89.17,96.64,57.51,53.73,23.76,27.85,30.21,12.29,15.14,21.94,22.21,7.79,7.65,16.7,16.36,7.76,7.14,12.18,12.2,6.61,6.69,9.03,5.41,6.1,2.02,176.05,25.26,19.42,31.65,35.27,30.84,,,,,,,,187.33,19.42,20.11,,
Smithsonian,337257,Aepyceros melampus johnstoni,Male,Z1,Zambia,"Eastern Province, Lundazi District",Older adult (~6),,,110.64,43.03,78.75,79.93,,44.91,22.42,24.32,4,43.63,35.38,,47.66,47.85,27.67,27.86,16.4,16.41,10.04,9.77,15.62,15.64,11.11,11,13.41,11.48,8.26,8.15,,,88.83,92.81,55.79,51.09,23.19,25.38,26.77,14.18,14.98,22.14,21.26,7.56,7.93,16.28,15.41,7.12,7.13,12.16,12.48,6.42,6.14,9.58,5.5,5.16,2.53,198.1,26.52,21.53,39.26,44.36,35.59,205.52,22.5,19.77,19.95,41.29,51.16,36.42,220,17.67,16.43,,
