Museum,Specimen #,Species,SEX,Location Code,Country/Continent,State/Province,"Age (juv, prime adult, older adult, old)",Weight,Notes,Grst Breadth acss Orbits,Grst Breadth across the premaxillae/Muzzle Width,Occipital/Cranial Height (base of foramen magnum to top of the occipital region),Skull width across mastoids immediately behind external auditory meati,Length of nuchal crest (from nodual to nodual on nuchal crest),Greatest Breadth of occipital condyles,Greatest Breadth of Foramen Magnum,Depth of Foramen Magnum,Nuchal crest (1-5),Grst Breadth of the base of paraoccipital process,Length of the paraoccipital process,"Width of Paraoccipital Process, right below auditory bullae",Length of molar row (@ alvelous) Maxilla ,,Length of Premolar row (@ alvelous) Maxilla ,,Occlusal length M3,,Occlusal width M3,Occlusal width M3_ remeasured 11_2016,Occlusal length M2,Occlusal length M2_remeasured 11_2016,Occlusal width M2,Occlusal width M2_remeasured 11_2016,Occlusal length M1,Occlusal width M1,Occlusal length P4,Occlusal Width P4,Occlusal length P2,Occlusal Width P2,Anterior jaw length,Posterior jaw length,max width of the mandibluar angle,Length of molar row (@ alvelous) Mandible ,Length of Premolar row (@ alvelous) Mandible ,Depth of Mandible between M1 and M2,Depth of Mandible between M2 and M3,Mandibular Width at M2,Diastema depth at alveolus,Occlusal length M3,Occlusal length M3_remeasured 11_2016,Occlusal width M3,Occlusal width M3_remeasured 11_2016,Occlusal length M2,Occlusal length M2_remeasured 11_2016,Occlusal width M2,Occlusal width M2_remeasured 11_2016,Occlusal length M1,Occlusal length M1_remeasured 11_2016,Occlusal width M1,Occlusal width M1_remeasured 11_2016,Occlusal length P4,Occlusal width P4,Occlusal length P2,Occlusal width P2,Humerus Length,Humerus Width Shaft  AP,Humerus Width Shaft ML,Humerus Width Distal 1 (capitulum),Humerus Width Distal 2 (epicondyles),Humerus Width Proximal (humeral head),Femur Length,Femur Width Shaft AP,Femur Width ML,Femur Width Distal 1 (region above condyles and below patellar surface),Femur Width Distal 2 (condyles),Femur Width Proximal 1 (intertrochanteric crest),Femur Width Proxial 2 (less trochanter to head),Medapodial Length,Medapodial Width AP,Medapodial Width ML,Astragalus Length,Astragalus Width
Smithsonian,368556,Aepyceros melampus melampus,Male,B1,Botswana,,Older adult (~6),,,113.34,43.3,79.57,80.61,,51.39,19.59,21.31,3,44.68,36.92,,46.77,46.27,27.88,26.97,17.59,17.36,9.82,9.49,14.51,14.81,10.88,9.94,12.09,10.14,8.34,8.34,7.06,5.89,92.07,101.42,62.73,50.92,21.95,27.86,32.19,13.47,16.58,22.82,22.62,8.26,7.64,14.81,14.77,7.36,7.06,11.43,10.96,7.05,7.03,9.13,5.52,~3.59,~2.19,,,,,,,,,,,,,,,,,,
Smithsonian,368558,Aepyceros melampus melampus,Male,B2,Botswana,,Older Adult (~7),,,113.84,41.85,85.94,80.68,,49.47,20.43,21.77,4,43.54,38.49,,52.61,50.88,26.04,24.63,17.72,17.82,11.23,10.89,16.66,15.92,11.1,11.68,12.22,12.07,8.82,8.32,7.07,5.19,92.23,108.91,66.01,53.99,24.11,29.86,32.53,13.16,17.65,23.29,23.03,7.79,7.91,14.89,15.31,7.87,7.89,14.02,13.11,6.53,6.31,9.32,5.21,5.5,2.15,,,,,,,,,,,,,,,,,,
Smithsonian,368561,Aepyceros melampus melampus,Male,B2,Botswana,,Prime adult~3,,,102.23,37.98,78.49,75.12,,45.33,21.69,22.19,2,~48.66,30.24,,50.35,,29.58,,14.74,,7.19,,16.6,,10.2,,15.36,10.38,9.74,6.55,7.22,4.9,86.28,~88.61,57.83,56.24,28.12,29.29,34.58,12.87,15.44,21.24,,6.98,,17.41,,7.77,,14.59,,7.19,,10.95,4.48,5.62,2.39,,,,,,,,,,,,,,,,,,
Smithsonian,368563,Aepyceros melampus melampus,Male,B3,Botswana,,Prime adult~3,,,108.81,42.23,83.2,81.8,,52.04,20.15,21.58,4,50.51,35.13,,51.22,,27.66,,15.97,,10.06,,18.06,,11.07,,15.97,11.47,9.43,8.33,7.03,6.18,89.88,94.43,56.41,56.19,23.9,28.84,31.37,13.22,18.54,22.63,,8.43,,17.32,,8.85,,14.34,,6.91,,10.17,5.98,,,,,,,,,,,,,,,,,,,,
Smithsonian,470199,Aepyceros melampus melampus,Male,B3,Botswana,"Tsau, 21 Mi SE, 24 12 S, 22 17 E","juvenile (22-24 months), M3 erupting",112,,101.58,40.54,79.15,75.61,,49.99,22.77,23.92,1,,,,51.03,,,,,,,,17.47,,7.82,,16.18,9.53,,,,,,95.68,56.39,,,28.5,32.25,13.38,15.68,15.68,,,,18.31,,6.59,,15.49,,6.96,,,,,,,,,,,,,,,,,,,,,,,
Smithsonian,368564,Aepyceros melampus melampus,Male,B3,Botswana,,Prime Adult ~4.5,,,110.46,47.43,78.6,78.33,,53.21,22.06,22.84,4,42.1,40.74,,50.25,,27.23,,16.66,,8.55,,16.87,,10.82,,13.51,10.53,9.21,8.4,6.65,6.19,86.8,101.74,62.06,53.65,38.85,25.26,29.54,13,15.85,23.37,,7.14,,17.04,,7.36,,12.34,,6.09,,10.4,5.7,6.99,2.02,,,,,,,,,,,,,,,,,,
Smithsonian,470199,Aepyceros melampus melampus,Male,B3,Botswana,,"juvenile (22-24 months), M3 erupting",112,,101.58,40.54,79.15,75.61,,49.99,22.77,23.92,1,,,,51.03,,,,,,,,17.47,,7.82,,16.18,9.53,,,,,,95.68,56.39,,,28.5,32.25,13.38,15.68,15.68,,,,18.31,,6.59,,15.49,,6.96,,,,,,,,,,,,,,,,,,,,,,,
Smithsonian,470198,Aepyceros melampus melampus,Male,B4,Botswana,,Prime Adult (~4),150,,111.89,45.05,83.87,83.59,,50.33,20.83,25.63,5,49.18,42.73,,53.64,53.52,28.19,27.66,18.74,18.24,10.19,10.25,17.32,17.18,11.45,11.18,15.26,11.64,9.38,9.1,7.3,6.63,90.62,107.65,59.48,57.9,23.64,28.72,31.48,14.06,17.76,23.97,23.74,8.22,7.78,17.28,17.48,8.73,8.65,14.73,14.46,6.77,6.95,10.42,5.43,6.41,2.87,,,,,,,,,,,,,,,,,,
Smithsonian,351948,Aepyceros melampus melampus,Male,S1,South Africa,Kwazulu-Natal,Prime Adult (~4),,,109.77,,82.02,80.66,,52.9,22.19,22.04,4,43.91,36.72,,49.77,49.57,27.96,28.64,17.79,17.6,9.08,9.1,16.6,16.71,11.29,10.95,14.29,10.96,9.91,9.07,,,91.34,105.54,63.1,55.52,22.21,25.84,30.35,14.1,17.63,22.84,22.38,8.3,8.01,17.08,17.32,8.9,8.39,12.65,12.53,7.58,7.08,9.74,5.77,5.35,2.45,,,,,,,,,,,,,,,,,,
Smithsonian,351946,Aepyceros melampus melampus,Male,S1,South Africa,Kwazulu-Natal,Prime Adult (~5),,,110.68,44.63,83.16,81.54,,51.5,21.46,20.61,5,44.28,43.58,,49.79,49.27,25.85,26.52,18.1,17.75,11.23,11.02,16.16,16.11,11.68,11.02,13.53,12.1,8.71,9.44,,,85.9,104.21,63.17,54.69,23.31,29.26,32.57,14.34,18.58,24.03,23.23,8.32,8.52,16.06,16.13,8.46,7.99,12.27,11.95,7.71,7.63,9.97,5.43,6.52,2.42,,,,,,,,,,,,,,,,,,
Smithsonian,344217,Aepyceros melampus melampus,Male,S2,South Africa,Mpumalanga,Prime Adult (~5),70,,108.73,44.33,82.3,85.45,,53.02,23,22.95,5,,38.04,,49.84,48.03,27.79,27.6,17,16.45,10.29,9.52,16.13,15.96,11.79,10.83,13.65,10.71,9.41,9.81,,,96.7,106.73,66.94,52.8,24.36,30.36,33.77,13.41,20.3,22.25,22.05,9.46,8.24,16.41,16.81,8.42,8.74,13.1,12.85,7.38,6.97,9.7,6.07,6.08,2.37,,,,,,,,,,,,,,,,,,
Smithsonian,163201,Aepyceros melampus rendilis,Male,K1,Kenya,,Prime Adult (~4),,,120.04,47.85,83.88,85.63,,51.55,19.89,22.88,5,~53.78,,,50.17,,28.08,,16.92,,~9.30,,17.31,,11.65,,13.88,11.73,9.28,8.23,8.43,6.11,94.36,114.73,71.75,54.33,23.94,29.32,32.62,14.28,19.32,23.48,,8,,16.93,,8.47,,12.86,,7.09,,9.55,5.42,6.85,2.98,,,,,,,,,,,,,,,,,,
Smithsonian,163202,Aepyceros melampus rendilis,Male,K1,Kenya,,Very Old (~9),,,123.87,46.48,82.4,85.37,,51.68,21.06,21.06,5,~53.40,39.48,,43.35,,27.57,,16.9,,12.77,,14.34,,12.43,,12.87,12.23,8.64,9.69,5.85,5.57,95.1,96.47,65.96,53.39,23.25,29.88,31.45,13,,,,,,13.98,,8.63,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smithsonian,354861,Aepyceros melampus rendilis,Male,K2,Kenya,,Prime Adult (3.5),,,116.13,,82.01,85.86,,47.98,18.21,21.78,5,,,,56.27,,27.73,,17.05,,10.21,,18.5,,11.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smithsonian,182036,Aepyceros melampus rendilis,Male,K2,Kenya,,Prime Adult (~3),,,117.1,,81.19,84.81,,51.35,19.67,20.89,5,40.47,~39.54,,55,,28.42,,15.71,,8.69,,17.81,,11.14,,16.33,10.98,9.46,7.97,7.92,4.35,98.94,100.53,60.81,58.86,26.67,27.73,30.94,15.24,17.59,22.12,,7.78,,17.62,,8.51,,15.26,,7.23,,11.23,5.35,6.31,2.34,,,,,,,,,,,,,,,,,,
Smithsonian,163206,Aepyceros melampus suara,Male,K1,Kenya,,Prime Adult (~3),48.2,,44.02,81.91,86.54,,51.59,20.06,20.98,5,,,,50.63,27.37,,14.77,,8.34,,16.28,,10.29,,16.15,,10.31,9.24,8.08,6.29,5.54,87.73,102.82,63.02,55.43,25.13,27.65,31.44,15.12,16.46,21.36,7.03,,16.66,,7.89,,15.16,,6.57,,9.45,,5.23,6.79,3.11,,,,,,,,,,,,,,,,,,,
Smithsonian,18955 (34699),Aepyceros melampus suara,Male,K3,Kenya,Taveta,Juvenile (?) 2+ years,,,117.73,44.46,83.47,86.82,,53.85,20.38,22.24,4,~51.80,,,51.84,,28.37,,15.61,,8.45,,16.59,,11.34,,14.71,11.13,9.75,7.95,6.27,5.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smithsonian,18957 (34777),Aepyceros melampus suara,Male,K3,Kenya,,Prime Adult (~4),,,115.22,43.45,81.94,83.13,,48.96,19.43,19.96,3,,,,49.82,,25.4,,18.26,,11.33,,17.25,,12.85,,12.42,11.9,8.4,8.68,6.47,5.43,93.15,105.94,65.57,52.93,23.37,26.55,30.06,13.59,16.12,25.45,,~8.58,,14.62,,8.51,,12.04,,7.5,,9.25,5.7,5.54,3.52,,,,,,,,,,,,,,,,,,
Smithsonian,268454,Aepyceros melampus suara,Male,K4,Kenya,Rift Valley,"No teeth, horns fully developed Adult",,,111.8,,81.37,86.69,,51.86,21.72,20.28,5,,,,,,,,14.6,,8.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smithsonian,163205,Aepyceros melampus suara,Male,K4,Kenya,,Prime Adult (~3),,,117.71,45.8,82.62,82.89,,46.26,20.14,19.28,4,,,,51.26,,27.42,,16.08,,10.08,,18.07,,10.45,,14.68,11.09,9.69,8.87,7.51,6.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smithsonian,162000,Aepyceros melampus suara,Male,K4,Kenya,,Prime Adult (~3),,,114.95,45.36,85.14,85.28,,53.22,23.62,21.44,5,45.45,39.23,,53.46,,30.42,,17.09,,8.82,,17.43,,9.88,,16.38,9.85,10.18,7.89,8.53,6.42,92.12,109.03,64.7,58.22,25.69,30.4,33.26,14.62,18.34,24.34,,7.06,,17.49,,8.18,,14.72,,7.47,,11.06,5.52,6.9,3.58,180.39,26.93,19.4,35.31,38.64,33.57,228.98,25.95,22.45,20.51,45.97,61.67,43.34,229.04,20.86,17.3,38.16,22.5
Smithsonian,162001,Aepyceros melampus suara,Male,K4,Kenya,,Prime Adult (~4),,,109.52,42.39,83.75,81.67,,49.84,20.88,22.51,4,44.19,36.73,,51.66,,28.93,,16.61,,10.59,,18.24,,11.72,,15.33,10.39,10.39,8.86,7.42,5.89,87.4,101.17,60.47,55.67,24.39,26.33,30.46,13.32,16.83,22.48,,8.11,,17.22,,8.58,,13.3,,7.39,,10.43,5.92,5.46,2.79,166.01,26.26,18.95,32.17,36.15,32.17,218.41,25.39,21.52,19.53,43.91,54.44,40.46,208.83,18.89,16.25,35.96,20.97
Smithsonian,163200,Aepyceros melampus suara,Male,K5,Kenya,,Prime Adult (~4.5),,,118.17,,84.44,83.6,,51.93,22.49,22.59,5,,,,52.1,,26.82,,17.26,,10.2,,17.35,,11.2,,14.31,11.26,8.51,9.39,6.46,6.36,89.82,100.21,63.87,57.85,25.51,28.1,33.41,13.34,16.9,23.16,,7.42,,16.55,,8,,13.62,,7.36,,9.94,5.49,6.88,3.39,194.78,27.51,19.08,32.72,37.66,33.72,237.58,23.46,21.33,21.85,46.17,55.97,42.46,230.86,20.87,16.81,38.76,22.14
Smithsonian,163196,Aepyceros melampus suara,Male,K6,Kenya,,Prime Adult (~3),,,110.04,41.99,82.84,78.67,,49.19,19.7,21.68,4,51.9,34.68,,51.92,,28.68,,15.12,,6.64,,16.74,,9.77,,16.47,10.75,9.25,7,6.97,5.18,87.61,96.6,58.7,57.63,25.42,28.8,32.17,13.82,15.44,20.51,,6.2,,17.29,,7.47,,15.44,,7.38,,11,3.91,5.79,3.4,181.78,27.73,19.95,33.9,36.3,35.22,220.21,23.62,21.47,21.2,45.03,53.91,41.36,220.66,18.2,17.28,38.42,21.38
Smithsonian,163197,Aepyceros melampus suara,Male,K6,Kenya,,Young Adult (~2),,,107.08,42.27,81.57,79.43,,49.58,21.13,22.21,2,~44.57,35.38,,52.41,,30.2,,14.57,,6.59,,17.26,,10.06,,17.09,10.41,9.34,6.22,7.29,3.91,85.84,94.08,58.85,56.22,26.31,28.36,32.42,12.03,16.6,21.71,,6.2,,18.06,,7.18,,15.64,,7.62,,10.99,3.92,6.27,2.78,186.12,26.04,19.57,33.81,37.94,33.72,222.61,24.99,21.1,21.28,44.98,52.77,41.85,220.89,19.03,17.59,38.36,22.27
Smithsonian,163203,Aepyceros melampus suara,Male,K6,Kenya,,Prime Adult (~5),,,115.18,45.69,81.03,81.86,,47.22,19.63,19.63,5,45.16,43.06,,51.7,,26.26,,18.4,,10.62,,17.42,,11.11,,13.59,11.05,7.3,8.51,7.82,6.04,93.24,104.13,58.12,56.64,22.57,27.99,32.24,14.23,16.94,25.56,,7.7,,16.09,,7.98,,12.8,,6.92,,8.85,5.68,6.43,2.78,,,,,,,,,,,,,,,,,,
Smithsonian,163198,Aepyceros melampus suara,Male,K7,Kenya,,Prime Adult (~3),,,118.61,45.58,84.43,84.57,,50.83,20.99,21.95,5,47.68,40.99,,51.25,,27.39,,16.61,,9.84,,17.14,,11.55,,15.26,10.42,9.03,7.95,7.06,3.44,89.1,106.58,66.35,55.11,24.61,26.57,29.64,14.3,16.19,22.95,,8.15,,16.25,,8.33,,13.27,,7.68,,9.46,5.14,6.28,2.64,,,,,,,,,,,,,,,,,,
Smithsonian,163199,Aepyceros melampus suara,Male,K7,Kenya,,Prime Adult (~4),,,111.9,44.78,84.19,80.75,,51.09,19.81,21.21,4,38.61,39.33,,51.09,50.66,29.62,28.51,16.19,15.68,9.16,9.21,16.6,16.48,10.66,10.56,15.48,10.21,9.2,9.2,8.47,5.28,93.13,112.53,64.31,54.91,31.03,32.17,28.96,13.73,16.67,22.78,22.26,8.13,7.73,16.5,16.39,8.55,8.02,14.07,14.04,7.15,,8.89,5.59,6.75,3.35,188.49,27.78,19.38,33.39,38.14,36.93,224.82,24.29,21.94,20.08,43.44,58.5,44.34,222.55,19.79,16.95,38.76,21.78
Smithsonian,181893,Aepyceros melampus suara,Male,K7,Kenya,,Prime Adult (~3),,,117.6,45.44,84.35,85.36,,52.25,20.9,24.64,5,,,,51.12,,27.47,,14.98,15.55,8.35,8.93,16.55,16.79,10.47,10.42,15.81,10.83,9.93,8.26,7.22,6.99,91.29,110.21,65.27,55.76,24.99,26.88,30.88,14.1,18.74,22.93,22.25,7.16,7.4,17.59,16.96,8.54,8.69,13.78,13.74,7.15,7.56,9.69,5.29,6.12,2.76,,,,,,,,,,,,,,,,,,
Smithsonian,181858,Aepyceros melampus suara,Male,K7,Kenya,,Prime Adult (~3),,,118.8,46.55,87.07,83.48,,51.81,22.74,24.2,4,,37.28,,53.7,,29.03,,15.24,,9.51,,18.98,,11,,16,11.21,10,8.71,,6.45,89.93,102.59,64.38,57.9,24.15,26.24,29.59,13.83,16.28,22.54,22.61,7.87,8.21,16.67,16.5,8.27,7.9,14.44,14.7,7.11,7.7,8.88,5.69,6.63,2.67,,,,,,,,,,,,,,,,,,
Smithsonian,181865,Aepyceros melampus suara,Male,K7,Kenya,,Prime Adult (~4),,,113.63,44.53,84.55,83.48,,50.33,21,23.14,5,50.41,40.63,,53.3,,29.37,,15.47,16.8,8.94,8.9,17.38,17.9,10.87,10.8,15.58,11.38,10.35,8.25,6.42,6.56,91.18,111.15,61.35,57.99,25.26,28,30.76,14.12,16.84,23.06,22.8,7.34,7.6,18.09,17.7,8.14,8,14.21,14.3,7.31,7.4,10.48,5.26,6.38,2.76,,,,,,,,,,,,,,,,,,
Smithsonian,181920,Aepyceros melampus suara,Male,K7,Kenya,,Prime Adult (3),,,114.9,45.87,81.9,85.18,,50.4,19.95,22.08,4,,,,52.14,51.79,29.32,28.72,14.82,14.66,8.28,7.95,18,17.36,10.91,11.1,16.93,10.56,9.77,8.35,,,91.13,107.23,62.46,55.14,26.02,29.83,31.58,13.97,18.67,19.95,20.07,6.85,6.95,17.36,17.74,7.85,7.93,15.5,15.19,7.52,7.81,9.99,5.92,6.45,2.45,,,,,,,,,,,,,,,,,,
Smithsonian,181980,Aepyceros melampus suara,Male,K7,Kenya,,Prime Adult (~3),,,116.76,47.08,83.2,81.98,,52.42,19.59,22.14,5,47.5,41.97,,52.84,53.55,30.76,29.28,15.6,14.45,8.84,8.76,18.48,18.03,11.12,10.14,16.5,11.66,10.23,8.81,8.65,6.52,91.7,103.54,62.16,56.99,23.9,26.86,31.12,15.28,16.34,21.98,22.31,7.99,7.44,17.81,17.93,8.53,8.55,14.76,15,7.78,8.53,10.17,5.44,6.78,2.69,,,,,,,,,,,,,,,,,,
Smithsonian,184785,Aepyceros melampus suara,Male,K7,Kenya,,Prime Adult (~2.5),,,,45.38,,82.47,,53.42,23.61,21.82,4,,36.26,,54.69,,31,,14.82,,7.78,,17.81,,9.93,,17.16,10.5,10.47,7.87,7.16,5.68,96.06,104.16,63.18,60.95,26.07,30.45,34.48,15,17.21,22.51,,7.33,,18.39,,8.27,,16.03,,8.03,,11.49,4.82,6.66,2.84,,,,,,,,,,,,,,,,,,
Smithsonian,239150,Aepyceros melampus suara,Male,K7,Kenya,,Older Adult (~6.5),,,116.46,48.99,84.92,82.08,,49.36,18.62,21.19,4,,,,48.38,,25.99,,16.49,,11.04,,14.43,,10.62,,,,,,,,92.27,101.1,64.22,51.62,22.99,28.53,28.64,13.12,18.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smithsonian,163204,Aepyceros melampus suara,Male,K8,Kenya,,Prime Adult (~4.5),,,119.41,47.6,81.15,86.08,,50.57,20.78,20.06,5,49.89,40.08,,52.61,,29.9,,17.95,,10.95,,17.8,,11.96,,14.53,11.56,8.7,8.61,8.83,5.12,112.48,104.71,65.58,59.58,25.64,27.37,29.96,14.59,18.86,25.47,,8.56,,17.1,,9.21,,12.95,,7.81,,9.17,4.76,,,,,,,,,,,,,,,,,,,,
Smithsonian,200958,Aepyceros melampus suara,Male,T2,Tanzania,,Older Adlut (~8),,,,45.86,,84.08,,52.77,21.98,23.6,5,,,,50.81,,27.72,,,,,,,,,,,,,,,,91.35,108.96,65.28,55.26,24.32,27.01,28.6,13.4,16.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smithsonian,201012,Aepyceros melampus suara,Male,T2,Tanzania,,Prime Adult (~4),,,118.41,47.31,85.95,85.34,,51.88,20.03,22.14,4,,,,49.52,49.48,29.09,27.19,15.26,15.73,10.23,10.05,17.1,16.11,11.05,10.18,15.18,10.65,9.26,8.37,6.34,5.41,93.72,110.21,64.93,53.45,23.76,26.51,32.61,13.34,18.18,21.6,21.24,7.36,7.27,16.76,16.71,8,7.57,13.66,13.78,6.78,6.79,9.62,5.09,6.53,2.16,,,,,,,,,,,,,,,,,,
Smithsonian,161964,Alcelaphus buselaphus cokii,Male,,Kenya,,Prime Adult (Molars well worn),,,,,,,,,,,,,,,58.1,,29.5,,20.5,,13.2,,19.5,,12.9,,14.5,11.8,,,,,,,,,,,,,,23.75,,9.86,,18.62,,10.45,,14.86,,8.74,,11.54,8.48,,,,,,,,,,,,,,,,,,,,
Smithsonian,161967,Alcelaphus buselaphus cokii,Male,,Kenya,,Prime Adult,,,,,,,,,,,,,54.8,,62.6,,35.1,,21,,10.2,,20.5,,12.5,,19.3,11.9,,,,,,,,,,,,,,Missing mandible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smithsonian,161962,Alcelaphus buselaphus cokii,Male,,Kenya,,Prime Adult (~3) (molars not well worn),,,,,,,,,,,,,,,55.98,,28.03,,18.95,,11.5,,18.05,,11.92,,15.46,11.5,10.6,10.25,9.81,,,,,,,,,,,24.9,24.5,8.9,8.9,18.6,18.95,9.2,9.24,14.6,15.03,9.3,9.02,14.9,11.6,7.7,,,,,,,,,,,,,,,,,,,
Smithsonian,163207,Aepyceros melampus suara,Male,,Kenya,,Prime Adult (~4.5) (M1 slightly worn-all M3s erupted),,,,,,,,,,,,,,,51.43,51.38,27.92,28.25,16.03,15.94,8.9,8.68,17.47,17.49,10.45,10.43,14.75,11.14,9.99,8.75,9.64,6.3,,,,56.76,26.01,27.81,31.43,15,,22.71,22.49,7.54,7.07,17.95,17.74,8,8.04,14.6,14.83,7.49,7.81,11.01,5.7,7.04,3.56,,,,,,,,,,,,,,,,,,
Smithsonian,161966,Alcelaphus buselaphus cokii,Male,,Kenya,,Prime Adult (2.5),,molars not terribly worn,,,,,,,,,,,,,60.43,,31.58,,19.01,,~12.93,,20.27,,~13.24,,17.63,12.22,,,,,,,,,,,,,,26.74,,9.41,,19.84,,9.61,,17.05,,9.67,,,,,,,,,,,,,,,,,,,,,,,
Smithsonian,161970,Alcelaphus buselaphus cokii,Female,,Kenya,,Young Adult (~2),,LM3 not particularly worn at all,,,,,,,,,,,,,57.04,,31.94,,17.55,,9.38,,19.42,,11.15,,18.26,11.65,,,,,,,,,,,,,,21.76,,6.52,,19.4,,9.05,,17.34,,9.98,,,,,,,,,,,,,,,,,,,,,,,
Smithsonian,20924,Alcelaphus buselaphus cokii,Female,,Kenya,,Prime Adult,,Teeth not terribly worn,,,,,,,,,,,,,60.31,,31.94,,21.7,,12.67,,19.51,,13.37,,17.8,13.02,,,,,,,,,,,,,,26.67,,8.73,,21.57,,9.59,,19.84,,9.28,,,,,,,,,,,,,,,,,,,,,,,
Smithsonian,162995,Alcelaphus buselaphus cokii,Male,,Kenya,,Young Adult (almost 2?),,Teeth not really worn,,,,,,,,,,,,,61.04,,35.86,,19.92,,9.74,,21.01,,10.49,,19.13,10.92,,,,,,,,,,,,,,23.98,,6.27,,21.74,,8.57,,19.34,,9.03,,,,,,,,,,,,,,,,,,,,,,,
Smithsonian,162994,Alcelaphus buselaphus cokii,Male,,Kenya,,Prime Adult,,Teeth not terribly worn,,,,,,,,,,,,,62.57,,34.56,,20.51,,12.95,,21.04,,13.53,,17.88,12.85,,,,,,,,,,,,,,26.39,,8.58,,19.87,,9.35,,18.24,,10.28,,,,,,,,,,,,,,,,,,,,,,,
Smithsonian,181881,Alcelaphus buselaphus cokii,Male,,Kenya,,Prime Adult (3.5) ,,LM1 missing infundibulum,,,,,,,,,,,,,63.7,,31.27,,22.58,,12.91,,20.7,,13.33,,16.19,12.25,,,,,,,,,,,,,,27.87,,10.43,,21.33,,10.41,,15.1,,10.18,,,,,,,,,,,,,,,,,,,,,,,
Smithsonian,163153,Alcelaphus buselaphus cokii,Female,,Kenya,,Prime Adult,,LM3 distal infundibulum worn off,,,,,,,,,,,,,58.01,,29.91,,19.25,,13.39,,18.32,,13.53,,15.42,11.86,,,,,,,,,,,,,,25.23,,9.38,,17.9,,10.29,,14.44,,10.13,,,,,,,,,,,,,,,,,,,,,,,
Smithsonian,162997,Alcelaphus buselaphus cokii,Female,,Kenya,,Prime Adult (3),,,,,,,,,,,,,,,60.32,,34.25,,19.26,,10.14,,20.06,,11.74,,19.45,12.32,,,,,,,,,,,,,,Missing mandible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smithsonian,163155,,Male,,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.76,,7.87,,19.4,,9.33,,17.09,,9.36,,,,,,,,,,,,,,,,,,,,,,,
smithsonian,163160,Alcelaphus buselaphus cokii,Female,,Kenya,,Prime Adult (3),,Little wear,,,,,,,,,,,,,60.21,,32.03,,20.26,,14.24,,17.82,,13.43,,15.06,12.97,,,,,,,,,,,,,,26.28,,10.52,,18.57,,10.74,,15,,9.63,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.544365814,,-0.725513906,,-0.942507069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.712962963,,1.439712058,,-0.478697942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.448430493,,2.947845805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,